author_id,name,votes
1004,John Harrison,1
1011,Aristophanes,6
1015,Leo Strauss,8
1020,W. John Campbell,1
1025,Andrea Wilson Nightingale,1
1042,Dean Hammer,1
1049,Elie Wiesel,17
1050,Mark Haddon,18
1054,Beryl Markham,1
1055,Larry McMurtry,75
1058,David Allen,6
1060,Ram Charan,5
1063,Jeff Davidson,5
1070,Warren Adler,11
1071,Edwin C. Bliss,1
1072,Ricardo Piglia,9
1081,Beatriz Sarlo,1
1082,Larry J. Sabato,2
1083,Karen O'Connor,3
1104,Peter R.L. Brown,11
1105,Barbara Willard,6
1115,Frank Sheed,2
1117,Thomas Williams,4
1118,James J. O'Donnell,2
1119,Henry Chadwick,3
1124,Anthony Bourdain,19
1126,Walter de la Mare,4
1127,Ovid,6
1129,Richard A. LaFleur,1
1134,Norma Goldman,1
1148,Hugo Bedau,1
1154,Patrick O'Donnell,3
1162,Reginald Gibbons,4
1166,Gian Biagio Conte,1
1171,Richard Martin Stern,1
1176,Richard Martin,1
1178,Richard P. Martin,1
1181,Robyn Arianrhod,1
1185,Gregory Nagy,1
1194,Richard Dawkins,24
1197,Harold Pinter,26
1201,Daniel Pinchbeck,3
1203,Andy Warhol,7
1209,Ford Madox Ford,6
1212,Daphne Beal,1
1215,Rachel Wetzsteon,1
1217,Thomas Beller,2
1218,Jon Ronson,6
1222,Lynn M. Stone,8
1223,Josepha Sherman,11
1227,Joe Rhatigan,3
1230,Gary Snyder,16
1234,Daniel Duane,2
1235,Jon Krakauer,16
1236,John Eldredge,15
1237,Jung Chang,4
1238,Nelson DeMille,26
1239,Catherine Coulter,104
1240,Jack London,64
1241,Judy Sierra,5
1242,Dan Saffer,2
1244,Mark Twain,98
1247,Susan Sharpless Smith,1
1256,Mike Kuniavsky,1
1257,Barbara Ehrenreich,16
1260,Michel Foucault,11
1262,John D'Emilio,6
1264,Jean Baudrillard,11
1265,Jane Austen,74
1269,Marie Kalil,1
1272,David Roberts,3
1276,Kevin Doyle,1
1281,Jeffrey Burton Russell,12
1291,Paul Krugman,10
1296,Shellie Vandevoorde,1
1308,Quincy Troupe,3
1315,Louisa May Alcott,72
1318,Susan Beth Pfeffer,28
1323,William Taylor,3
1328,James B. Stewart,8
1331,Gretta Mulrooney,1
1332,Julia Golding,12
1333,Nathaniel Branden,12
1334,Alan Greenspan,1
1338,Daniel Pool,3
1339,Jane Smiley,33
1341,Connie Ann Kirk,1
1342,Colleen Sexton,1
1344,Ann Gaines,2
1346,Philip Nel,2
1348,Barbara Kramer,1
1349,Rex David Thomas,1
1350,Sam Walton,1
1351,Wally Amos,1
1352,Bill Ransom,1
1354,Sean O'Brien,2
1369,Francis Blessington,1
1374,Lionel Casson,6
1377,Raymond Chandler,17
1382,Lois Gladys Leppard,32
1391,Nicholas Humphrey,3
1393,Preston Dennett,4
1397,Jonathan Lear,5
1399,Leonard Mlodinow,4
1401,Stephen Hawking,20
1408,John Boslough,1
1409,Roger Penrose,4
1410,Lawrence M. Krauss,7
1411,David Wilkinson,2
1416,Phillip Glasier,1
1418,John Gribbin,18
1419,Michael White,14
1421,Leonard Peikoff,2
1422,Robert Mayhew,2
1423,Andrew Bernstein,1
1425,Charles R. Stone,1
1431,Jorge Cruise,2
1432,Michael Cunningham,13
1433,Thom Hartmann,10
1434,Phyllis A. Tickle,11
1435,Graeme Base,16
1438,Walt Whitman,24
1439,Malcolm Gladwell,13
1441,Ted Dekker,36
1442,Anne Hoppus,1
1447,Andrew Parker,2
1448,Karen Joy Fowler,14
1449,Kim Wilson,1
1450,Deirdre Le Faye,3
1451,John Sutherland,10
1452,John Perkins,5
1455,Ernest Hemingway,66
1458,David Hays,1
1459,Frederick Brown,2
1461,Gustave Flaubert,18
1462,Julian Barnes,41
1464,George Sand,9
1466,Jean-Paul Sartre,39
